"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"87","147.8626975305576","206.97545604784906","0","0","0.005600000000000049","0.0088","0.0023999999999999577","1560","0.0003628629218041807","0","0.0003628629218041807","0.0003628629218041807","87_86:0.003303595226879119;87_88:0.0026813501101261017","87_86:68;87_88:68","true"
"88","201.48076936355312","238.8977455395818","0","0","0.019600000000000062","0.021399999999999975","0.0178","1560","0.00027184317760363305","0","0.00027184317760363305","0.00027184317760363305","88_94:0.0017918035329261284;88_87:0.0026813501101261017;88_89:0.0065387134482141895","88_94:76;88_87:68;88_89:68","true"
"89","211.5531876299089","121.13392547019114","0","0","0.013800000000000034","0.0174","0.010199999999999987","1560","0.0009765981440251425","0","0.0009765981440251425","0.0009765981440251425","89_90:0.006785678078538582;89_88:0.0065387134482141895","89_90:68;89_88:68","true"
"90","192.8414607944198","285.27209038491225","0","0","0.02180000000000004","0.023399999999999976","0.0202","1560","0.00032054154746045667","0","0.00032054154746045667","0.00032054154746045667","90_75:0.0027416971956695513;90_89:0.006785678078538582","90_75:88;90_89:68","true"
"91","159.18106952715715","131.09511491872973","0","0","0.007099999999999995","0.009000000000000008","0.0052","1560","0.00029098782370769297","0","0.00029098782370769297","0.00029098782370769297","91_95:0.0030871153886765923;91_76:0.004211946634505387","91_95:148;91_76:68","true"
"92","254.37254741886102","165.8413206366456","0","0","0.005099999999999993","0.008","0.0021999999999999797","1560","0.0006222864230369022","0","0.0006222864230369022","0.0006222864230369022","92_99:0.0015413042085634099;92_80:0.0013528705276864839","92_99:68;92_80:68","true"
"93","151.24522589882767","126.7414096205447","0","0","0.005600000000000049","0.006800000000000028","0.0044","1560","0.0003439514894715499","0","0.0003439514894715499","0.0003439514894715499","93_103:0.0017864655835815313;93_84:0.002178359590544715","93_103:68;93_84:68","true"
"94","332.29353989575526","218.57629519011394","0","0","0.012900000000000023","0.016","0.009800000000000031","1560","0.00014789044028623067","0","0.00014789044028623067","0.00014789044028623067","94_107:0.0026452227099108827;94_88:0.0017918035329261284","94_107:104;94_88:76","true"
"95","133.97293780618602","217.33677878025577","0","0","0.03269999999999995","0.0412","0.0242","1560","0.0006528192638682815","0","0.0006528192638682815","0.0006528192638682815","95_91:0.0030871153886765923;95_96:0.0029275454836479864","95_91:148;95_96:68","true"
"96","53.568754924091884","117.77363470126345","0","0","0.011199999999999988","0.014599999999999946","0.0078","1560","0.0003587877899681688","0","0.0003587877899681688","0.0003587877899681688","96_95:0.0029275454836479864;96_97:0.0026321817227663302","96_95:68;96_97:68","true"
"97","203.02597843792557","205.98552388499542","0","0","0.04200000000000004","0.031","0.05300000000000005","1560","0.00022778549981791594","0","0.00022778549981791594","0.00022778549981791594","97_110:0.0023202168430826453;97_98:0.0019173900517187314;97_96:0.0026321817227663302","97_110:88;97_98:68;97_96:68","true"
"98","103.10818860229531","45.772178978160476","0","0","0.01550000000000007","0.022800000000000042","0.0082","1560","0.0002627025936685649","0","0.0002627025936685649","0.0002627025936685649","98_99:0.0023467069488005976;98_97:0.0019173900517187314","98_99:68;98_97:68","true"
"99","124.18110644849463","121.55672124353025","0","0","0.007099999999999995","0.010800000000000032","0.0034","1560","0.00021756151495707214","0","0.00021756151495707214","0.00021756151495707214","99_92:0.0015413042085634099;99_98:0.0023467069488005976;99_100:0.003767481000764128","99_92:68;99_98:68;99_100:68","true"
"100","115.47699921149484","146.4305557829998","0","0","0.06910000000000005","0.067","0.07120000000000004","1560","0.0003258742390483973","0","0.0003258742390483973","0.0003258742390483973","100_99:0.003767481000764128;100_101:0.0030011290473505314","100_99:68;100_101:88","true"
"101","162.54762042306783","125.47063770082347","0","0","0.013499999999999956","0.014399999999999968","0.0126","1560","0.00017375438110639775","0","0.00017375438110639775","0.00017375438110639775","101_111:0.0021775970184269855;101_102:0.0030220932226289465;101_100:0.0030011290473505314","101_111:108;101_102:68;101_100:88","true"
"102","202.6048665220144","69.57830444749548","0","0","0.005800000000000027","0.0082","0.0033999999999999586","1560","0.0005686032890149666","0","0.0005686032890149666","0.0005686032890149666","102_103:0.0027751305947736893;102_101:0.0030220932226289465","102_103:68;102_101:68","true"
